layer_id,layer_type,partition_decision,cpu_cycles,sa_accelerator_cycles,communication_cost
0,QUANTIZE,0,100,30,100
1,PAD,0,50,15,100
2,CONV_2D,1,642660,192798,100
3,DEPTHWISE_CONV_2D,1,1254548,376364,100
4,CONV_2D,0,1162360,348708,100
5,PAD,0,50,15,100
6,DEPTHWISE_CONV_2D,1,1156088,346826,100
7,CONV_2D,1,820032,246009,100
8,DEPTHWISE_CONV_2D,1,1064255,319276,100
9,CONV_2D,1,897750,269325,100
10,PAD,1,50,15,100
11,DEPTHWISE_CONV_2D,1,895623,268686,100
12,CONV_2D,1,702353,210705,100
13,DEPTHWISE_CONV_2D,0,297166,89149,100
14,CONV_2D,0,335966,100789,100
15,PAD,0,50,15,100
16,DEPTHWISE_CONV_2D,1,335958,100787,100
17,CONV_2D,0,255523,76656,100
18,DEPTHWISE_CONV_2D,0,106314,31894,100
19,CONV_2D,0,137006,41101,100
20,DEPTHWISE_CONV_2D,0,2000,600,100
21,CONV_2D,0,5000,1500,100
22,DEPTHWISE_CONV_2D,0,2000,600,100
23,CONV_2D,0,5000,1500,100
24,DEPTHWISE_CONV_2D,0,2000,600,100
25,CONV_2D,0,5000,1500,100
26,DEPTHWISE_CONV_2D,0,2000,600,100
27,CONV_2D,0,5000,1500,100
28,PAD,0,50,15,100
29,DEPTHWISE_CONV_2D,1,2000,600,100
30,CONV_2D,1,5000,1500,100
31,DEPTHWISE_CONV_2D,1,2000,600,100
32,CONV_2D,0,5000,1500,100
33,MEAN,0,100,30,100
34,RESHAPE,0,40,12,100
35,CONV_2D,0,5000,1500,100
36,RESHAPE,0,40,12,100
37,SOFTMAX,0,500,150,100
38,DEQUANTIZE,0,120,36,100
