layer_id,layer_name,layer_type,cpu_cycles,sa_accelerator_cycles,input_tensor_size,output_tensor_size,weight_size,transfer_overhead_cycles,compute_intensity,memory_accesses,sa_suitable,cpu_preferred,memory_bound,compute_bound,cpu_energy_nj,sa_energy_nj
0,layer_0,QUANTIZE,100,30,1024,1024,0,100,60,35,False,False,1,0,150,100
1,layer_1,PAD,50,15,1024,1024,0,100,30,17,False,False,1,0,75,100
2,layer_2,CONV_2D,642660,192798,1024,1024,0,100,610868,305432,True,False,0,1,1251934,1251934
3,layer_3,DEPTHWISE_CONV_2D,1254548,376364,1024,1024,0,100,1220828,583320,True,False,0,1,2472994,2472994
4,layer_4,CONV_2D,1162360,348708,1024,1024,0,100,1124438,160554,True,False,0,1,2284691,2284691
5,layer_5,PAD,50,15,1024,1024,0,100,30,17,False,False,1,0,75,100
6,layer_6,DEPTHWISE_CONV_2D,1156088,346826,1024,1024,0,100,1120068,32560,True,False,0,1,2274426,2274426
7,layer_7,CONV_2D,820032,246009,1024,1024,0,100,782416,35200,True,False,0,1,1601240,1601240
8,layer_8,DEPTHWISE_CONV_2D,1064255,319276,1024,1024,0,100,1033901,27301,True,False,0,1,2096629,2096629
9,layer_9,CONV_2D,897750,269325,1024,1024,0,100,861584,33622,True,False,0,1,1758062,1758062
10,layer_10,PAD,50,15,1024,1024,0,100,30,17,False,False,1,0,75,100
11,layer_11,DEPTHWISE_CONV_2D,895623,268686,1024,1024,0,100,861583,31497,True,False,0,1,1755934,1755934
12,layer_12,CONV_2D,702353,210705,1024,1024,0,100,676856,22657,True,False,0,1,1377789,1377789
13,layer_13,DEPTHWISE_CONV_2D,297166,89149,1024,1024,0,100,266510,28466,True,False,0,1,562581,562581
14,layer_14,CONV_2D,335966,100789,1024,1024,0,100,308566,24882,True,False,0,1,643273,643273
15,layer_15,PAD,50,15,1024,1024,0,100,30,17,False,False,1,0,75,100
16,layer_16,DEPTHWISE_CONV_2D,335958,100787,1024,1024,0,100,308562,24882,True,False,0,1,643263,643263
17,layer_17,CONV_2D,255523,76656,1024,1024,0,100,232031,20997,True,False,0,1,486306,486306
18,layer_18,DEPTHWISE_CONV_2D,106314,31894,1024,1024,0,100,78972,24882,True,False,0,1,184056,184056
19,layer_19,CONV_2D,137006,41101,1024,1024,0,100,102106,31622,True,False,0,1,237473,237473
20,layer_20,DEPTHWISE_CONV_2D,2000,600,1024,1024,0,100,1200,700,True,False,0,1,3000,3000
21,layer_21,CONV_2D,5000,1500,1024,1024,0,100,3000,1750,True,False,0,1,7500,7500
22,layer_22,DEPTHWISE_CONV_2D,2000,600,1024,1024,0,100,1200,700,True,False,0,1,3000,3000
23,layer_23,CONV_2D,5000,1500,1024,1024,0,100,3000,1750,True,False,0,1,7500,7500
24,layer_24,DEPTHWISE_CONV_2D,2000,600,1024,1024,0,100,1200,700,True,False,0,1,3000,3000
25,layer_25,CONV_2D,5000,1500,1024,1024,0,100,3000,1750,True,False,0,1,7500,7500
26,layer_26,DEPTHWISE_CONV_2D,2000,600,1024,1024,0,100,1200,700,True,False,0,1,3000,3000
27,layer_27,CONV_2D,5000,1500,1024,1024,0,100,3000,1750,True,False,0,1,7500,7500
28,layer_28,PAD,50,15,1024,1024,0,100,30,17,False,False,1,0,75,100
29,layer_29,DEPTHWISE_CONV_2D,2000,600,1024,1024,0,100,1200,700,True,False,0,1,3000,3000
30,layer_30,CONV_2D,5000,1500,1024,1024,0,100,3000,1750,True,False,0,1,7500,7500
31,layer_31,DEPTHWISE_CONV_2D,2000,600,1024,1024,0,100,1200,700,True,False,0,1,3000,3000
32,layer_32,CONV_2D,5000,1500,1024,1024,0,100,3000,1750,True,False,0,1,7500,7500
33,layer_33,MEAN,100,30,1024,1024,0,100,60,35,False,False,1,0,150,100
34,layer_34,RESHAPE,40,12,1024,1024,0,100,24,14,False,True,1,0,60,100
35,layer_35,CONV_2D,5000,1500,1024,1024,0,100,3000,1750,True,False,0,1,7500,7500
36,layer_36,RESHAPE,40,12,1024,1024,0,100,24,14,False,True,1,0,60,100
37,layer_37,SOFTMAX,500,150,1024,1024,0,100,300,175,False,True,1,0,750,100
38,layer_38,DEQUANTIZE,120,36,1024,1024,0,100,72,42,False,False,1,0,180,100
